Advisor,Author,Date,Abstract,URL,Discipline,Keywords,Title,Type
N/A,"Brewbaker, Chad",2020-11-13T21:12:16.000,"<p>This thesis shows that the number of (0,1)-matrices with n rows and k columns uniquely reconstructible from their row and column sums are the poly-Bernoulli numbers of negative index, B[subscript n superscript (-k)] . Two proofs of this main theorem are presented giving a combinatorial bijection between two poly-Bernoulli formula found in the literature. Next, some connections to Fermat are proved showing that for a positive integer n and prime number p B[subscript n superscript (-p) congruent 2 superscript n (mod p),] and that for all positive integers (x, y, z, n) greater than two there exist no solutions to the equation: B[subscript x superscript (-n)] + B[subscript y superscript (-n)] = B[subscript z superscript (-n)]. In addition directed graphs with sum reconstructible adjacency matrices are surveyed, and enumerations of similar (0,1)-matrix sets are given as an appendix.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/97848,,Computer science,"Lonesum (0,1)-matrices and poly-Bernoulli numbers of negative index",thesis
"Liu, Jia (Kevin),Rajan, Hridesh,Zhang, Wensheng,Aduri, Pavan,Zhang, Hongwei","Yu, Menglu",N/A,"This dissertation will focus on modeling and designing efficient resource scheduling and allocation algorithms for deep learning jobs in distributed machine learning systems or computing clusters based on mainstream frameworks (e.g., TensorFlow and PyTorch). Due to the rapid growth of training dataset size and model complexity, it becomes prevailing to leverage the data parallelism to expedite the training process. However, data communication between computing devices (e.g., GPUs) typically becomes the bottleneck to scaling the system. Thus how to alleviate the communication bottleneck when scheduling deep learning jobs in distributed systems attracts increasing attention both in academia and industry recently.

However, designing the resource allocation scheduling algorithms is highly non-trivial. Specifically, the problem typically has packing-type constraints (due to the resource capacity limit), covering-type constraints (due to the job workload requirements), and non-convex constraints (due to the topology, contention, etc), which is NP-Hard in general. Moreover, demanding integer variables adds another layer of difficulty to solve the problem. To overcome these challenges, we need
to design a suite of provable algorithms to schedule the jobs efficiently.

In this thesis, we start with a resource allocation algorithm design for the computing clusters, where we focus on resource allocation without considering the placement for DNN jobs. Then we extend our work to the distributed machine learning systems and computing clusters by jointly optimizing the placement and resource scheduling for DNN jobs. In this thesis, we design schedulers for deep learning jobs with various objectives (e.g., minimize the overall training completion time,
minimize the makespan and maximize the overall job utility). We first work on designing efficient scheduling algorithms based on simplified assumptions like reserved bandwidth for each job and the underlying network is a complete graph. Then we extend our work by taking into practical concerns (e.g., topology mapping and contention among multiple jobs) into consideration when developing schedulers for the distributed machine learning systems and computing clusters.",https://dr.lib.iastate.edu/handle/20.500.12876/Qr9m9omr,Computer science,"Deep Learning Jobs,Distributed Systems,Networking,Optimization,Resource Scheduling",Low-latency computing network resource scheduling and allocation algorithms for deep learning jobs,dissertation
"Ying Cai,Wensheng Zhang,Daji Qiao","Galdames S, Patricio",2018-08-22T17:35:32.000,"<p>A continuous k nearest neighbor (CKNN) query retrieves the set of k mobile nodes that are nearest to a query point, and provides real-time updates whenever this set of nodes changes. A CKNN query can be either stationary or mobile, depending on the mobility of its query point. Efficient processing of CKNN queries is essential to many applications, yet most existing techniques assume a centralized system, where one or more central servers are used for query management. In this thesis, we assume a fully distributed mobile peer-to-peer system, where mobile nodes are the only computing devices, and present a unified platform for efficient processing of both stationary and mobile CKNN queries. For each query, our technique computes a set of safe boundaries and lets mobile nodes monitor their movement with respect to these boundaries. We show that the result of a query does not change unless a node crosses over a safe boundary. As such, our technique requires a query to be re-evaluated only when there is a crossing event, thus minimizing the cost of query evaluation. For performance study, we model the communication cost incurred in query processing with a detailed mathematical analysis and verify its accuracy using simulation. Our extensive study shows that the proposed technique is able to provide real-time and accurate query results with a reasonable cost.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/68978,Computer Sciences,Computer science,Managing continuous k-nearest neighbor queries in mobile peer-to-peer networks,thesis
"Ying Cai,Wallapak Tavanapong","Kim, Kihwan",2018-08-11T06:35:01.000,"<p>Mobile devices have brought new applications into our daily life. However, ecient man-</p>
<p>agement of these objects to support new applications is challenging due to the distributed</p>
<p>nature and mobility of mobile objects. This dissertation describes a new type of mobile peer-</p>
<p>to-peer (M-P2P) computing, namely geotasking, and presents ecient management of mobile</p>
<p>objects to support geotasking. Geotasking mimics human interaction with the physical world.</p>
<p>Humans generate information using sensing ability and store information to geographical lo-</p>
<p>cations. Humans also retrieve this information from the physical locations. For instance, an</p>
<p>installation of a new stop sign at some intersection in town is analogous to an insertion of a</p>
<p>new data item into the database. Instead of processing regular data as in traditional data</p>
<p>management systems, geotasking manages a collection of geotasks, each dened as a computer</p>
<p>program bound to a geographical region. The hardware platform for geotasking consists of</p>
<p>popular networked position-aware mobile devices such as cell phones, personal digital assis-</p>
<p>tants, and laptops. We design and implement novel system software to facilitate programming</p>
<p>and ecient management of geotasks. Such management includes inserts, deletes, updates,</p>
<p>retrieval and execution of a geotask triggered by mobile object correlations, geotask mobil-</p>
<p>ity, and geotask dependency. Geotasking enables useful applications ranging from warning of</p>
<p>dangerous areas for military and search-and-rescue missions to monitoring the population in</p>
<p>a certain area for trac management to informing tourists of exciting events in an area and</p>
<p>other such applications. Geotasking provides a distributed and unied solution for supporting</p>
<p>various types of applications.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/25237,Computer Sciences,,Managing motion triggered executables in distributed mobile databases,dissertation
James Oliver,"Mazurick, Adam",2021-06-11T00:48:19.000,"<p>Advertisers currently face a significant challenge marketing to consumers in 2021. It is well established that people in 2021 consume nearly five times as much information as in 1986. To manage this increase of information, consumers have developed complex coping strategies that involve increased multi-tasking among digital applications like Gmail, LinkedIn, Outlook Calendar and Facebook. These very coping strategies that involve multi-tasking are making consumers less efficient at focusing their attention. Whatsmore, consumers are dividing their attention across more interaction technologies. This combination of societal trends presents distinct challenges to advertisers who want consumers to recall their brands, services and products. In an age where consumers own multiple connected devices, how consumers recall ads across interaction technologies and what drives them to act in response to those advertisements are largely unexplored.</p>
<p>In order to explore how people recall the details of advertisements and what factors drive individual willingness to act in response to advertisements, a qualitative study was conducted in which twelve subjects experienced eight commercial variants across popular interaction technologies.</p>
<p>After experiencing commercials across Head-Mounted Virtual Reality, Head-Mounted Mixed Reality, Smart Phones, SmartTVs, Hearables, Smart Watches and Smart Speakers, consumers were able to recall the brands and details of commercials more frequently on Head-Mounted Mixed Reality and Wearable interaction technologies. Moreover, willingness-to-act was highest on Mobile AR, Mixed Reality and Hearable interaction technologies. On this basis, Mobile AR, head-mounted Mixed Reality, Wearable and Hearable interaction technologies should be taken into account when developing advertising communications.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/qzXBx3Pv,,"Hearables,HMD,Mixed Reality,Smart Glasses","Marketing in extended reality, a qualitative exploration of how people recall the  details of advertisements and what factors drive individual willingness to act  across interaction technologies.",thesis
Dimitris Margaritis,"Bromberg, Facundo",2018-08-22T19:42:00.000,"<p>We investigate efficient algorithms for learning the structure of a Markov network from data using the independence-based approach. Such algorithms conduct a series of conditional independence tests on data, successively restricting the set of possible structures until there is only a single structure consistent with the outcomes of the conditional independence tests executed (if possible). As Pearl has shown, the instances of the conditional independence relation in any domain are theoretically interdependent, made explicit in his well-known conditional independence axioms. The first couple of algorithms we discuss, GSMN and GSIMN, exploit Pearl's independence axioms to reduce the number of tests required to learn a Markov network. This is useful in domains where independence tests are expensive, such as cases of very large data sets or distributed data. Subsequently, we explore how these axioms can be exploited to ""correct"" the outcome of unreliable statistical independence tests, such as in applications where little data is available. We show how the problem of incorrect tests can be mapped to inference in inconsistent knowledge bases, a problem studied extensively in the field of non-monotonic logic. We present an algorithm for inferring independence values based on a sub-class of non-monotonic logics: the argumentation framework. Our results show the advantage of using our approach in the learning of structures, with improvements in the accuracy of learned networks of up to 20%. As an alternative to logic-based interdependence among independence tests, we also explore probabilistic interdependence. Our algorithm, called PFMN, takes a Bayesian particle filtering approach, using a population of Markov network structures to maintain the posterior probability distribution over them given the outcomes of the tests performed. The result is an approximate algorithm (due to the use of particle filtering) that is useful in domains where independence tests are expensive.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/69221,"Artificial Intelligence and Robotics,Computer Sciences",Computer science,Markov network structure discovery using independence tests,dissertation
"Gao, Hongyang,Liu, Hailiang,Liu, Jia (Kevin),Vaswani, Namrata,Quinn, Christopher","Gao, Tianxiang",N/A,"In recent years, despite having a significantly larger number of parameters than training samples, overparameterized neural networks have been widely adopted in practical applications, showcasing notable numerical and practical success. This success has sparked theoretical investigations aimed at understanding the underlying phenomenon, known as benign overfitting, where overparameterized neural networks can achieve zero training loss and maintain good performance on unseen data. While previous theoretical studies have produced interesting findings supporting these practical observations, they have primarily focused on shallow neural networks, particularly two-layer networks. However, in practice, deep neural networks with large depths are favored due to their greater expressive capacity and task performance.

To address this gap, we initiate a study on large-depth neural networks by investigating infinite-depth neural networks, specifically, deep equilibrium models (DEQs) and neural ordinary differential equations (neural ODEs). Our analysis reveals that for infinite-depth or large-depth neural networks, the dynamical stability is crucial not only for training but also for generalization. Consequently, to achieve faster training convergence and better generalization performance, a carefully selected scaling strategy and the use of different skip connections are essential to stabilize the information propagation in large-depth neural networks during both forward function evaluation and backward gradient computation.

We propose a simple yet effective scaling strategy and utilize different skip connections to ensure the stability of information propagation in infinite-depth neural networks. As a result, we demonstrate that gradient descent can train infinite-depth neural networks, including DEQs and Neural ODEs, to achieve zero training error and arbitrary small generalization error, provided that the neural network is overparameterized and the training sample is sufficient. Furthermore, we conduct numerical experiments to validate and support our theoretical findings. Additionally, we believe that the techniques introduced in this dissertation are not only applicable to DEQs and Neural ODEs but also extendable to other neural network architectures with large depths, such as residual neural networks, large-depth recurrent neural networks, and graph neural networks.",https://dr.lib.iastate.edu/handle/20.500.12876/jw27jL9v,Artificial intelligence,"Deep Equilibrium Models,Deep Neural Networks,Generalization,Gradient Descent,Neural Ordinary Differential Equations,Optimization",Mastering infinite depths: Optimization and generalization in deeper neural networks,dissertation
"Wong, Johnny,Mitra, Simanta,Tim, U. Sunday,Sukul, Adisak,Cai, Ying,Chang, Carl","Shandilya, Ritu",N/A,"In order to deduce more appropriate and useful recommendations, it has become essential to amalgamate additional information about the user and item rather than just the user-item correlation. In the past decade, researchers have developed various recommendation algorithms to improve the accuracy and efficiency of the recommender systems not only by employing traditional methods of user-item correlation but also by exploiting the additional user and item information such as the features of the user and item. In this research, first we implement a content-based recommender system MATURE, utilizing the additional information about both the user and item to predict the items for such a user who has current mandatory needs to accommodate as opposed to the past preferences.  
The MATURE-driven recommendations mandatorily satisfy the user’s mandatory requirements at a given time; this characteristic of MATURE distinguishes it from the existing algorithms, where recommendations are primarily based on the past preferences and fail to satisfy current mandatory requirements of the user, which might be different to the user’s past preferences. As MATURE is first recommender system, which promisingly undertakes the given mandatory requirements while recommending the most appropriate item set with pertinent justification of the recommendation, it is more suitable in the area of healthcare where users’ needs are critical and cannot be compromised. Therefore, in this research, we expand the applicability of MATURE and focus on its application as a food recommender system, named MATURE-Food, with mandatory nutrient values range. MATURE-Food recommends only those food items that fulfill all mandatory nutritional requirements while considering user’s past preferences.
We further extend our MATURE research in healthcare domain to predict the health status of critically ill patients, where an electrolytes imbalance poses a great threat to their health. Electrolytes imbalance can be an indication of the development of underlying pathophysiology as balancing electrolytes is critical and necessary for appropriate functioning of organs in human body. Monitoring electrolytes imbalance efficiently can increase the chances of early detection of disease and can help to prevent or delay further deterioration of the health by taking appropriate measures in a timely manner to balance the electrolytes. As the intake of nutrients performs a vital role in balancing electrolytes and other substances (metabolic parameters and acid-base), it can be achieved by strictly following a controlled nutrient diet. Therefore, in this research, a health recommender system MATURE-Health is proposed and implemented; which predicts the imbalance of mandatory electrolytes and other substances (metabolic parameters and acid-base) present in blood and recommends the food items with the balanced nutrients to avoid occurrence of the electrolytes imbalance. MATURE-Health forecasts the level of specified electrolytes and other substances based on user’s most recent laboratory reports and the daily nutritional intake to predict the electrolytes imbalance and updates user’s daily nutrient intake to avoid the occurrence of electrolytes imbalance. To recommend the food items having nutritional value according to user’s daily nutrient intake, MATURE-Health relies on MATURE-Food algorithm as latter recommends only those food items that satisfy all mandatory nutrient requirements while also considering user’s past food preferences. To validate the MATURE-Health, we rely on the data from dialysis unit of the University of IOWA and particularly sodium, potassium, and BUN levels have been predicted with prediction algorithm, Random Forest, using patients’ laboratory reports and daily food intake history. And the proposed model demonstrates 99.53%, 96.94% and 95.35% accuracy for sodium, potassium, and BUN respectively.
In summary, we first propose and implement a novel recommender system MATURE in this research work that guarantees and ensures the inclusion of the specified mandatory features, when recommending the items to the user and justifies the recommendation by using the information enclosed in mandatory features. Then, as an application of MATURE, we implement a food recommender system MATURE-Food. And finally, a new health recommender system, MATURE-Health, is proposed and implemented. MATURE-Health predicts the health status of a patient by predicting the imbalance of mandatory electrolytes level and other substances in the blood and prevent or reduce the risk of electrolytes imbalance. It uses MATURE-Food to recommend only food items, which contain the required amount of the nutrients to balance the electrolytes.",https://dr.lib.iastate.edu/handle/20.500.12876/EwpaPbGv,Computer science,"CKD Diet,Electrolyte Imbalance Prediction,Food Recommender System,Health Recommender System,Machine Learning,Nutrient Balanced Diet",MATURE: Recommender System for Mandatory Feature choices,dissertation
Carl K. Chang,"Zhang, Chuanhai",2019-08-21T14:28:34.000,"<p>Many medical image classification tasks have a severe class imbalance problem. That is images of target classes of interest, e.g., certain types of diseases, only appear in a very small portion of the entire dataset. These medical image classification tasks share two common issues. First, only a small labeled training set is available due to the expensive manual labeling by highly skilled medical experts. Second, there exists a high imbalance ratio between rare class and common class. The common class occupies a high percentage of the entire dataset and usually has a large sample variety, which makes it difficult to collect a good representative training set for the common class. Convolutional Neural Network (CNN) is currently a state-of-the-art method for image classification. CNN relies on a large training dataset to achieve high classification performance. However, manual labeling is costly and may not even be feasible, which limits CNN from offering high classification performance in practice. This dissertation addresses these two challenging issues with the ultimate goal to improve classification effectiveness and minimize manual labeling effort by the domain experts.</p>
<p>The main contributions of dissertation are summarized as follows. 1) We propose a new real data augmentation method called Unified LF&SM that jointly learns feature representation and a similarity matrix for recommending unlabeled images for the domain experts to verify in order to quickly expand the small labeled training set. Real data augmentation utilizes realistic unlabeled samples rather than synthetic samples. The key of real data augmentation is how to design an effective strategy to select representative samples for certain classes quickly from a large realistic unlabeled dataset. 2) We investigate the effectiveness of six different data augmentation methods and perform a sensitivity study using training sets of different sizes, varieties, and similarities when compared with the test set. 3) We propose a Hierarchical and Unified Data Augmentation (HuDA) method to collect a large representative training dataset for the common class. HuDA incorporates a class hierarchy: class differences on the high level (between the rare class and the common class) and class differences on the low level (between sub-classes of the rare class or the common class). HuDA is capable of significantly reducing time-consuming manual effort while achieving quite similar classification effectiveness as manual selection. 4) We propose a similarity-based active deep learning framework (SAL), which is the first approach to deal with both a significant class imbalance and a small seed training set as far as we know.</p>
<p>Broader Impact: Triplet-based real data augmentation methods utilize the similarity between samples to learn a better feature representation. These methods aim to guarantee that the computed similarity between two samples from the same class is always bigger than the computed similarity between two samples from two different classes. First, our sensitivity study on six different data augmentation methods shows that triplet-based real data augmentation methods always offer the largest improvement on both the recommendation accuracy and the classification performance. These real data augmentation methods are easily extendable to other medical image classification tasks. Our work provides useful insight into how to choose a good training image dataset for medical image classification tasks. Second, to the best of our knowledge, SAL is the first active deep learning framework that deals with a significant class imbalance. Our experiments show that SAL nearly obtains the upper bound classification performance by labeling only 5.6% and 7.5% of all images for the Endoscopy dataset and the Caltech-256 dataset, respectively. This finding confirms that SAL significantly reduces the experts’ manual labeling efforts while achieving near optimal classification performance. SAL works for multi-class image classification and is easily extendable to other medical image classification tasks as well.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/31313,Artificial Intelligence and Robotics,,Medical image classification under class imbalance,dissertation
"Ciardo, Gianfranco,Basu, Samik,Lathrop, James,Miner, Andrew","Hosseini, Seyedehzahra",N/A,"MDDs (multi-valued decision diagrams) are a generalization of binary decision diagrams (BDDs).
In formal method verification tools, efficient MDD manipulation is critical. Despite the usefulness of MDDs in real-world tasks such as discovering the reachability set of a model, hardware resource limitations limit the efficacy of manipulation algorithms. Previous methodologies, such as variable ordering, demonstrate that choosing the right variable order has an influence on the size of the MDDs. Other studies on approximation and manipulation of high-density (finite but large) state systems shows the importance of efficient under-approximation techniques. Such studies have been conducted with an emphasis on binary decision diagrams. These algorithms function with limited memory, making them ideal for  any hardware with limited memory. In this thesis, we focus on memory constrained algorithms, especially under-approximations, for MDDs. 

We present a novel quadratic-time under-approximation technique for MDDs in this work. The method obtains the information by traversing an MDD and selecting either a node or a collection of nodes with the lowest density. The former is more accurate, but more time-consuming, whereas the latter has a better execution time, but it is more eager in deleting nodes, which may result in deleting too many nodes from the MDD.

The primary conclusion of this study is that selecting a collection of nodes for deletion performs better in larger real-world problems in terms of execution time, although selecting one node for removal at a time delivers a more precise outcome. This work highlights the effectiveness of using an under-approximation approach when manipulating multi-valued decision diagrams.",https://dr.lib.iastate.edu/handle/20.500.12876/aw4Ngd7r,Computer science,"binary decision diagrams,memory constrained algorithms,multi-valued decision diagrams,reachability,under-approximation",Memory constrained algorithms for multi-valued decision diagrams,thesis
N/A,"Kwinn, William",2018-08-15T07:39:21.000,N/A,https://dr.lib.iastate.edu/handle/20.500.12876/79232,Computer Sciences,Computer science,Memory management policies for a hardware implemented computer operating system,dissertation
Steven Cannon,"Yadav, Akshay",2020-06-26T20:06:48.000,"<p>Gene families are groups of genes that have descended from a common ancestral gene present in the species under study. Current, widely used gene family building algorithms are prone to producing incomplete families (under-clustering) or families containing wrong or non-family sequences (over-clustering). In this work, we present a sequence-pair-classification-based method that, first, inspects given families for under-clustering and then predicts the missing sequences for the families using family-specific alignment score cutoffs. We test this method on a set of curated, gold-standard families from the Yeast Gene Order Browser (YGOB) database, including 20 yeast species. To check if the method can detect and correct incomplete families obtained using existing family building methods, we test this method on under-clustered yeast families produced using the OrthoFinder tool. We demonstrate the utility of the pair-classification method in merging small, fragmented legume families into larger families, built using the OrthoFinder tool, from 14 legumes species belonging to subfamily Papilionoideae of the plant family Leguminosae. We provide recommendations on different types of family-specific alignment score cutoffs that can be used for predicting the missing sequences based on the ""purity"" of under-clustered families and the chosen precision and recall for prediction. Finally, we provide the containerized version of the pair-classification method that can be applied on any given set of gene families.</p>
<p>In addition to the pair-based classification method, we present a simple hidden Markov model (HMM)-based protocol for merging fragmented families and a phylogeny-based protocol for detecting and splitting over-clustered families. We apply these methods for improving the legume gene families built from 14 legumes species belonging to subfamily Papilionoideae of the plant family Leguminosae, using a custom family building method, that utilizes differences in the synonymous-sites (Ks) in the gene sequences in order to capture the family clusters defined by the whole-genome duplication that occurred in the most recent common ancestor of the subfamily. We also analyze the improvements in the legume families obtained after the application of merging and splitting procedures by comparing the protein domain compositions of the new families against the original families. We also provide the containerized versions of family merging, splitting and scoring methods along with the new set of improved legume families.</p>
<p>We investigate the occurrence of whole-genome duplication events within the Cercidoideae subfamily of the plant family Leguminosae, using evolutionary, phylogenomic, and synteny analyses together with analysis of chromosome counts, from a diverse set of legume species. Based on diverse evidence, we conclude that one of the slow-evolving lineages within Cercidoideae may be unique among legumes in lacking evidence of an independent whole-genome duplication and can be a useful genomic model for the legumes. We are able to show that the genome duplication observed in the other sister lineage within Cercidoideae is most likely due to allotetraploidy involving hybridization between two progenitor species that existed in the Cercidoideae subfamily.</p>
<p>We present a method for tracking protein domain changes in a selected set of species with known phylogenetic relationships, by defining domains as ""features"" or ""descriptors,"" and considering the species (target + outgroup) as instances or data-points in a domain feature matrix. Protein domains can be regarded as sections of protein sequences capable of folding independently and performing specific functions that enable protein sequences to evolve through domain shuffling events like domain insertion, deletion, or duplication. We look for features (domains) that are significantly different between the target species and the outgroup species using a feature selection technique called Mutual-Information (MI) and non-parametric statistical tests (Fisher's exact test/Wilcoxon rank-sum test). We study the domain changes in two large, distinct groups of plant species: legumes (Fabaceae) and grasses (Poaceae), with respect to selected outgroup species, using four types of domain feature matrices: domain content, domain duplication, domain abundance, and domain versatility. The four types of domain feature matrices attempt to capture different aspects of domain changes through which the protein sequences may evolve - i.e. via gain or loss of domains, increase or decrease in the copy number of domains along the sequences, expansion or contraction of domains, or through changes in the number of adjacent domain partners. We report and study the biological functions of the top selected domains from all four feature matrices. In addition, we perform domain-centric Gene Ontology (dcGO) enrichment analysis on all selected domains from all the feature matrices to study the Gene Ontology terms associated with the significantly changing domains in legumes and grasses. We provide a docker container that can be used to perform this analysis on any user-defined sets of species.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/32242,,"Gene family building,Genome evolution,Machine learning,Protein domains,Sequence pair classification",Methods for correcting and analyzing gene families,thesis
"Eve Wurtele,David Fernandez-Baca","Vasanth, Achyuthan",2018-08-11T09:34:44.000,"<p>Background</p>
<p>Interpretation of large volumes of data that has information about genes, regulons, gene ontology and probes are important for the identification of the functionality of individual genes and their role with respect to the organism. Many software tools are available today, but they become difficult to interpret when visualizing large volumes of data and representing relationships between them.</p>
<p>Results</p>
<p>MetViz is an interactive web-based tool that uses novel visualization techniques to represent regulons, genes and the gene ontology hierarchy. The tool provides easier accessibility by making it available as a website requiring no download. Instead of displaying all data and the relationship with each other at once, as is the case with many software tools like Cytoscape, MetViz incrementally displays and associates them based on the user?s interaction with the tool. One can radially visualize and organize data based on different quantitative properties such as Intra regulon density, gene count in a regulon and degree of regulons. It minimizes navigation between different windows and pages by maximizing screen utilization. It is also aimed at reducing the number of clicks performed to view and obtain information by providing easily accessible buttons to different functionalities, multiple ways to interact with data and perform the same function, and also making use of unique techniques such as a modified version of the icicle graph to display gene ontology information.</p>
<p>Conclusions</p>
<p>MetViz allows users to search for Gene Ontology terms, Regulons or Genes of interest and obtain information regarding them. It helps in understanding the relationship between Gene Ontology Terms and Regulons, Genes and Regulons & Gene Ontology terms and Genes. It provides vital statistics like the genes present in a particular regulon, their count, evidence data, the pearson correlation matrix between the probes associated with genes, shortest path between regulons to show how closely they are related etcetera. MetViz also enables integration with other softwares such as MetaOmGraph.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/26685,"Bioinformatics,Computer Sciences","gene,gene ontology,regulon,visualization","MetViz: an online visualization tool for regulons, genes and gene ontology",thesis
Wensheng Zhang,"Tong, Bin",2018-08-11T17:37:28.000,"<p>Over the past decade, sensor networks have consistently been a focus of the computer research community, and a large number of prototypes have been built for military and civilian applications. One of the fundamental research issues of sensor networks is the energy scarcity problem. Due to the nature of sensor networks, e.g., small-size sensor nodes and large-scale deployment, sensor nodes cannot carry a large amount of energy or be conveniently recharged. As a result, the amount of energy that can be carried by a sensor node fundamentally limits the use of sensor networks. A large number of schemes have been proposed to address this issue. These schemes, however, have one or more the following drawbacks: (i) energy cannot be replenished to the network, and thus the network lifetime is bounded by the amount of energy preloaded to sensor nodes; (ii) the ways of replenishing energy to the network may not be practical and reliable, and thus may not support normal operations of the network; and (iii) sensor nodes drained of energy are left in the deployment field, and thus may cause pollution to the environment.</p>
<p>Fundamentally addressing this problem requires energy to be continually replenished to sensor nodes. This can be achieved in two approaches (i) The Node Reclamation and Replacement Approach: Sensor nodes with low or no energy are reclaimed periodically, and are replaced with fully charged ones. (ii) The Wireless Recharging Approach: Sensor nodes are periodically recharged with energy transmitted from wireless chargers over radio. Both the approaches exploit mobility in accomplishing energy replenishment. Specifically, one or more mobile agents, which could be human technicians or robots, travel around the network, and perform sensor reclamation and replacement or wireless recharging task.</p>
<p>In this dissertation, we propose an array of new mobility-assisted energy replenishment schemes.</p>
<p>Firstly, for the node reclamation and replacement approach, we propose node replacement and reclamation (NRR) strategy, with which a mobile robot or human labor periodically traverses the sensor network, reclaims nodes with low or no power supply, replaces them with fully-charged ones, and brings the reclaimed nodes back to an energy station for recharging. To effectively and efficiently realize the NRR strategy for different application scenarios, we present several implementing schemes for NRR under point coverage and area coverage models, respectively. We also present schemes to improve reliability in implementation of NRR.</p>
<p>Secondly, the wireless recharging approach takes advantage of emerging wireless recharging technology to continually transfer energy into the network. To support long network lifetime with the wireless recharging approach, the recharging agents' activities and sensors' activities can be scheduled in a similar way as with the node reclamation and replacement approach. Therefore, in this line of research, we focus on a unique problem with the wireless recharging technology, that is, how wireless recharging affects sensor network deployment and routing arrangement. We prove the problem is NP-complete, and propose heuristic algorithms to solve it.</p>
<p>Extensive analysis and simulations have been conducted to verify the effectiveness and efficiency of the proposed schemes. As the battery technology lags far behind that of MEMS, we believe energy replenishment is necessary to long-lived surveillance sensor networks. To the best of our knowledge, our works of sensor node reclamation and replacement and wireless recharging are among the first efforts on studying how to re-design sensor networks to fully leverage different energy replenishment techniques.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/25084,Computer Sciences,"Energy Replenishment,Sensor Networks",Mobility-assisted energy replenishment for sensor networks,dissertation
"Rozier, Kristin Y.,Ciardo, Gianfranco,Basu, Samik,Lutz, Robyn,Rajan, Hridesh","Dureja, Rohit",N/A,"In the early stages of design, there are frequently many different models of the system under development constituting a design space. The different models arise out of a need to weigh different design choices, to check core capabilities of system versions with varying features, or to analyze a future version against previous ones in the product line. Every unique combinations of choices yields competing system models that differ in terms of assumptions, implementations, and configurations. Formal verification techniques, like model checking, can aid system development by systematically comparing the different models in terms of functional correctness, however, applying model checking off-the-shelf may not scale due to the large size of the design spaces for today’s complex systems. We present scalable algorithms for design-space exploration using model checking that enable exhaustive comparison of all competing models in large design spaces. 

Model checking a design space entails checking multiple models and properties. Given a formal representation of the design space and properties expressing system specifications, we present algorithms that automatically prune the design space by finding inter-model relationships and property dependencies. Our design-space reduction technique is compatible with off-the-shelf model checkers, and only requires checking a small subset of models and properties to provide verification results for every model-property pair in the original design space. We evaluate our methodology on case-studies from NASA and Boeing; our techniques offer up to 9.4× speedup compared to traditional approaches. 

We observe that sequential enumeration of the design space generates models with small incremental differences. Typical model-checking algorithms do not take advantage of this information; they end up re-verifying “already-explored” state spaces across models. We present algorithms that learn and reuse information from solving related models against a property in sequential model-checking runs. We formalize heuristics to maximize reuse between runs by efficient “hashing” of models. Extensive experiments show that information reuse boosts runtime performance of sequential model-checking by up to 5.48×.

Model checking design spaces often mandates checking several properties on individual models. State-of-the-art tools do not optimally exploit subproblem sharing between properties, leaving an opportunity to save verification resource via concurrent verification of “nearly-identical” properties. We present a near-linear runtime algorithm for partitioning properties into provably high-affinity groups for individual model-checking tasks. The verification effort expended for one property in a group can be directly reused to accelerate the verification of the others. The high-affinity groups may be refined based on semantic feedback, to provide an optimal multi-property localization solution. Our techniques significantly improve multi-property model-checking performance, and often yield >4.0× speedup. 

Building upon these ideas, we optimize parallel verification to maximize the benefits of our proposed techniques. Model checking tools utilize parallelism, either in portfolio mode where different algorithm strategies run concurrently, or in partitioning mode where disjoint property subsets are verified independently. However, both approaches often degrade into highly-redundant work across processes, or under-utilize available processes. We propose methods to minimize redundant computation, and dynamically optimize work distribution when checking multiple properties for individual models. Our techniques offer a median 2.4× speedup for complex parallel verification tasks with thousands of properties.",https://dr.lib.iastate.edu/handle/20.500.12876/erLKEMev,Computer science,"design space exploration,equivalence checking,formal methods,model checking,parallel verification,redundancy removal","Model checking large design spaces: Theory, tools, and experiments",dissertation
